source,target,order,degree_source,degree_target,dist_to_center
T000000000162,T000000000131,1,2,1,7
T000000000014,T000000000021,1,4,2,3
T000000000014,T000000000062,1,4,2,3
T000000000074,T000000000014,1,3,4,2
T000000000014,T000000000238,1,4,2,3
T000000000144,T000000000047,1,4,1,3
T000000000144,T000000000077,1,4,1,3
T000000000194,T000000000144,1,3,4,2
T000000000144,T000000000195,1,4,3,3
T000000000097,T000000000146,1,3,1,5
T000000000021,T000000000198,1,2,1,4
T000000000155,T000000000058,1,2,1,7
T000000000118,T000000000155,1,2,2,6
T000000000062,T000000000033,1,2,1,4
T000000000127,T000000000162,1,2,2,6
T000000000168,T000000000094,1,2,2,5
T000000000176,T000000000168,1,2,2,4
T000000000092,T000000000169,1,3,1,3
T000000000092,T000000000176,1,3,2,3
T000000000126,T000000000177,1,4,1,1
T000000000094,T000000000187,1,2,1,6
T000000000074,T000000000191,1,3,1,2
T000000000076,T000000000194,1,2,3,1
T000000000194,T000000000114,1,3,2,2
T000000000195,T000000000073,1,3,1,4
T000000000195,T000000000097,1,3,3,4
T000000000126,T000000000074,1,4,3,1
T000000000120,T000000000076,1,3,2,0
T000000000104,T000000000092,1,2,3,2
T000000000114,T000000000093,1,2,1,3
T000000000097,T000000000127,1,3,2,5
T000000000230,T000000000118,1,2,2,5
T000000000238,T000000000230,1,2,2,4
T000000000126,T000000000104,1,4,2,1
T000000000120,T000000000110,1,3,1,0
T000000000120,T000000000126,1,3,4,0
T000000000016,T000000000066,2,4,2,2
T000000000066,T000000000217,2,2,2,3
T000000000199,T000000000075,2,2,3,2
T000000000183,T000000000199,2,3,2,1
T000000000016,T000000000008,2,4,1,2
T000000000016,T000000000042,2,4,1,2
T000000000075,T000000000111,2,3,1,3
T000000000075,T000000000123,2,3,2,3
T000000000054,T000000000012,2,3,1,1
T000000000140,T000000000054,2,3,3,0
T000000000140,T000000000086,2,3,1,0
T000000000140,T000000000183,2,3,3,0
T000000000054,T000000000016,2,3,4,1
T000000000217,T000000000211,2,2,1,4
T000000000183,T000000000095,2,3,1,1
T000000000159,T000000000151,2,2,1,5
T000000000123,T000000000159,2,2,2,4
T000000000137,T000000000129,3,3,2,0
T000000000129,T000000000141,3,2,3,1
T000000000106,T000000000161,3,4,2,1
T000000000161,T000000000148,3,2,1,2
T000000000141,T000000000135,3,3,1,2
T000000000137,T000000000106,3,3,4,0
T000000000137,T000000000236,3,3,1,0
T000000000106,T000000000108,3,4,1,1
T000000000106,T000000000156,3,4,3,1
T000000000141,T000000000063,3,3,1,2
T000000000156,T000000000142,3,3,1,2
T000000000156,T000000000150,3,3,1,2
T000000000224,T000000000208,4,2,3,0
T000000000224,T000000000228,4,2,2,0
T000000000208,T000000000225,4,3,2,1
T000000000225,T000000000231,4,2,1,2
T000000000228,T000000000233,4,2,2,1
T000000000208,T000000000232,4,3,1,1
T000000000233,T000000000215,4,2,1,2
T000000000189,T000000000071,5,4,1,1
T000000000072,T000000000173,5,2,1,0
T000000000072,T000000000189,5,2,4,0
T000000000189,T000000000115,5,4,1,1
T000000000189,T000000000181,5,4,1,1
T000000000105,T000000000011,6,2,1,1
T000000000178,T000000000105,6,2,2,0
T000000000079,T000000000116,6,2,1,1
T000000000178,T000000000079,6,2,2,0
T000000000068,T000000000040,7,3,1,0
T000000000068,T000000000067,7,3,1,0
T000000000068,T000000000044,7,3,1,0
T000000000136,T000000000070,8,3,1,0
T000000000136,T000000000107,8,3,1,0
T000000000136,T000000000119,8,3,1,0
T000000000160,T000000000088,9,2,1,1
T000000000185,T000000000160,9,2,2,0
T000000000185,T000000000182,9,2,1,0
T000000000029,T000000000202,10,2,1,0
T000000000029,T000000000003,10,2,1,0
T000000000196,T000000000192,11,2,1,0
T000000000196,T000000000005,11,2,1,0
T000000000052,T000000000056,12,2,1,0
T000000000052,T000000000007,12,2,1,0
T000000000209,T000000000019,13,2,1,0
T000000000209,T000000000203,13,2,1,0
T000000000069,T000000000020,14,2,1,0
T000000000069,T000000000174,14,2,1,0
T000000000242,T000000000025,15,2,1,0
T000000000242,T000000000239,15,2,1,0
T000000000190,T000000000091,16,2,1,0
T000000000190,T000000000134,16,2,1,0
T000000000099,T000000000117,17,2,1,0
T000000000099,T000000000166,17,2,1,0
T000000000218,T000000000163,18,2,1,0
T000000000218,T000000000226,18,2,1,0
T000000000206,T000000000241,19,2,1,0
T000000000206,T000000000227,19,2,1,0
T000000000213,T000000000240,20,2,1,0
T000000000213,T000000000243,20,2,1,0
T000000000001,T000000000022,21,1,1,0
T000000000053,T000000000006,22,1,1,0
T000000000010,T000000000034,23,1,1,0
T000000000050,T000000000013,24,1,1,0
T000000000024,T000000000045,25,1,1,0
T000000000064,T000000000049,26,1,1,0
T000000000080,T000000000098,27,1,1,0
T000000000112,T000000000172,28,1,1,0
T000000000125,T000000000133,29,1,1,0
T000000000153,T000000000246,30,1,1,0
T000000000188,T000000000157,31,1,1,0
T000000000184,T000000000175,32,1,1,0
T000000000234,T000000000207,33,1,1,0
T000000000249,T000000000244,34,1,1,0
